trade_id,entry_time,entry_price,position,contracts,risk_budget,trade_pnl,max_adverse_pnl,max_favorable_pnl,exit_time,exit_price,exit_reason,balance_after_trade
1186,2019-11-13 23:57:00,26476.0,-1,1,22958.55,130.0,0.0,390.0,2019-11-14 00:00:00,26472.0,model_exit,4591840.0
1187,2019-11-14 00:01:00,26478.0,-1,1,22959.2,-420.0,-420.0,0.0,2019-11-14 00:02:00,26480.0,model_exit,4591420.0
1188,2019-11-14 00:03:00,26471.0,-1,1,22957.100000000002,480.0,0.0,540.0,2019-11-14 00:05:00,26465.0,model_exit,4591900.0
1189,2019-11-14 00:06:00,26468.0,1,1,22959.5,480.0,0.0,690.0,2019-11-14 00:14:00,26475.0,model_exit,4592380.0
1190,2019-11-14 00:15:00,26483.0,1,1,22961.9,280.0,0.0,840.0,2019-11-14 00:28:00,26480.0,model_exit,4592660.0
1191,2019-11-14 00:29:00,26484.0,1,1,22963.3,-320.0,-320.0,140.0,2019-11-14 00:31:00,26478.0,model_exit,4592340.0
1192,2019-11-14 00:32:00,26490.0,1,1,22961.7,530.0,0.0,590.0,2019-11-14 00:34:00,26493.0,model_exit,4592870.0
1193,2019-11-14 00:35:00,26488.0,1,1,22964.350000000002,-370.0,-370.0,0.0,2019-11-14 00:36:00,26489.0,model_exit,4592500.0
1194,2019-11-14 00:37:00,26492.0,1,1,22962.5,180.0,0.0,640.0,2019-11-14 00:41:00,26499.0,model_exit,4592680.0
1195,2019-11-14 00:42:00,26497.0,1,1,22963.4,-220.0,-220.0,0.0,2019-11-14 00:43:00,26512.0,model_exit,4592460.0
1196,2019-11-14 00:44:00,26508.0,1,1,22962.3,-320.0,-320.0,0.0,2019-11-14 00:45:00,26510.0,model_exit,4592140.0
1197,2019-11-14 00:46:00,26509.0,1,1,22960.7,-420.0,-420.0,0.0,2019-11-14 00:51:00,26510.0,model_exit,4591720.0
1198,2019-11-14 00:52:00,26508.0,1,1,22958.600000000002,30.0,-260.0,340.0,2019-11-14 00:58:00,26512.0,model_exit,4591750.0
1199,2019-11-14 00:59:00,26512.0,1,1,22958.75,-370.0,-370.0,0.0,2019-11-14 01:03:00,26502.0,model_exit,4591380.0
1200,2019-11-14 01:04:00,26501.0,1,1,22956.9,180.0,-310.0,590.0,2019-11-14 01:31:00,26509.0,model_exit,4591560.0
1201,2019-11-14 01:32:00,26510.0,1,1,22957.8,630.0,-10.0,990.0,2019-11-14 01:44:00,26521.0,model_exit,4592190.0
1202,2019-11-14 01:45:00,26516.0,1,1,22960.95,-20.0,-960.0,390.0,2019-11-14 02:52:00,26522.0,model_exit,4592170.0
1203,2019-11-14 02:53:00,26522.0,1,1,22960.850000000002,-3070.0,-3070.0,0.0,2019-11-14 02:58:00,26453.0,model_exit,4589100.0
1204,2019-11-14 02:59:00,26450.0,1,1,22945.5,-7620.0,-7620.0,0.0,2019-11-14 17:16:00,26315.0,model_exit,4581480.0
1205,2019-11-14 17:17:00,26320.0,1,1,22907.4,130.0,0.0,190.0,2019-11-14 17:18:00,26326.0,model_exit,4581610.0
1206,2019-11-14 17:19:00,26320.0,1,1,22908.05,1430.0,-360.0,1490.0,2019-11-14 17:33:00,26358.0,model_exit,4583040.0
1207,2019-11-14 17:35:00,26355.0,1,1,22915.2,-1720.0,-1720.0,240.0,2019-11-14 17:48:00,26322.0,model_exit,4581320.0
1208,2019-11-14 17:49:00,26329.0,1,1,22906.600000000002,780.0,0.0,1040.0,2019-11-14 17:57:00,26336.0,model_exit,4582100.0
1209,2019-11-14 17:58:00,26334.0,1,1,22910.5,1830.0,-210.0,1890.0,2019-11-14 18:04:00,26397.0,model_exit,4583930.0
1210,2019-11-14 18:06:00,26386.0,-1,1,22919.65,-120.0,-120.0,0.0,2019-11-14 18:07:00,26379.0,model_exit,4583810.0
1211,2019-11-14 18:08:00,26374.0,1,1,22919.05,80.0,-510.0,290.0,2019-11-14 18:15:00,26389.0,model_exit,4583890.0
1212,2019-11-14 18:16:00,26385.0,1,1,22919.45,-470.0,-960.0,0.0,2019-11-14 18:35:00,26390.0,model_exit,4583420.0
1213,2019-11-14 18:36:00,26385.0,1,1,22917.100000000002,-370.0,-370.0,0.0,2019-11-14 18:37:00,26383.0,model_exit,4583050.0
1214,2019-11-14 18:38:00,26387.0,1,1,22915.25,-470.0,-510.0,140.0,2019-11-14 18:47:00,26376.0,model_exit,4582580.0
1215,2019-11-14 18:48:00,26377.0,1,1,22912.9,-670.0,-670.0,40.0,2019-11-14 18:53:00,26369.0,model_exit,4581910.0
1216,2019-11-14 18:54:00,26370.0,1,1,22909.55,-620.0,-620.0,390.0,2019-11-14 19:18:00,26361.0,model_exit,4581290.0
1217,2019-11-14 19:19:00,26361.0,1,1,22906.45,-220.0,-660.0,0.0,2019-11-14 19:30:00,26359.0,model_exit,4581070.0
