trade_id,entry_time,entry_price,position,contracts,risk_budget,trade_pnl,max_adverse_pnl,max_favorable_pnl,exit_time,exit_price,exit_reason,balance_after_trade
697,2019-12-04 09:51:00,26089.0,1,5,29520.75,-1600.0,-1600.0,0.0,2019-12-04 09:52:00,26057.0,model_exit,5902550.0
698,2019-12-04 09:53:00,26049.0,1,5,29512.75,-5100.0,-8800.0,0.0,2019-12-04 09:57:00,26009.0,model_exit,5897450.0
699,2019-12-04 09:58:00,26017.0,1,5,29487.25,4400.0,0.0,4700.0,2019-12-04 10:00:00,26045.0,model_exit,5901850.0
700,2019-12-04 10:01:00,26034.0,1,5,29509.25,1150.0,-3050.0,1450.0,2019-12-04 10:04:00,26068.0,model_exit,5903000.0
701,2019-12-04 10:05:00,26076.0,1,5,29515.0,1400.0,0.0,1700.0,2019-12-04 10:06:00,26091.0,model_exit,5904400.0
702,2019-12-04 10:08:00,26095.0,1,5,29522.0,3400.0,0.0,3700.0,2019-12-04 10:10:00,26100.0,model_exit,5907800.0
703,2019-12-04 10:12:00,26075.0,1,5,29539.0,-600.0,-1550.0,0.0,2019-12-04 10:14:00,26115.0,model_exit,5907200.0
704,2019-12-04 10:15:00,26111.0,1,5,29536.0,-1600.0,-1600.0,0.0,2019-12-04 10:16:00,26112.0,model_exit,5905600.0
705,2019-12-04 10:17:00,26116.0,1,5,29528.0,1400.0,0.0,1700.0,2019-12-04 10:19:00,26125.0,model_exit,5907000.0
706,2019-12-04 10:22:00,26133.0,1,5,29535.0,-100.0,-100.0,200.0,2019-12-04 10:23:00,26133.0,model_exit,5906900.0
707,2019-12-04 10:24:00,26120.0,1,5,29534.5,400.0,-5300.0,700.0,2019-12-04 10:28:00,26136.0,model_exit,5907300.0
708,2019-12-04 10:30:00,26138.0,1,5,29536.5,2400.0,0.0,2700.0,2019-12-04 10:32:00,26147.0,model_exit,5909700.0
709,2019-12-04 10:34:00,26153.0,1,5,29548.5,1400.0,0.0,4950.0,2019-12-04 10:36:00,26124.0,model_exit,5911100.0
710,2019-12-04 10:37:00,26139.0,1,5,29555.5,3150.0,0.0,3450.0,2019-12-04 10:38:00,26141.0,model_exit,5914250.0
711,2019-12-04 10:40:00,26149.0,1,5,29571.25,-100.0,-100.0,200.0,2019-12-04 10:41:00,26173.0,model_exit,5914150.0
712,2019-12-04 10:44:00,26164.0,1,5,29570.75,1150.0,0.0,1450.0,2019-12-04 10:46:00,26157.0,model_exit,5915300.0
713,2019-12-04 10:47:00,26175.0,1,5,29576.5,3900.0,0.0,4200.0,2019-12-04 10:48:00,26158.0,model_exit,5919200.0
714,2019-12-04 10:49:00,26142.0,1,5,29596.0,-10350.0,-10350.0,0.0,2019-12-04 10:57:00,26111.0,model_exit,5908850.0
715,2019-12-04 10:58:00,26101.0,1,5,29544.25,-3100.0,-3100.0,0.0,2019-12-04 10:59:00,26096.0,model_exit,5905750.0
